snapshot_date,owner_group,repo_count,total_stars,avg_stars,total_forks,total_watchers,total_open_issues,archived_repo_count,active_repo_count,language_count
2026-03-29,ambicuity,1,16,16,25,16,70,0,1,1
2026-03-29,baekenough,1,10,10,2,10,2,0,1,1
2026-03-29,Siddhanth2509,1,4,4,0,4,0,0,1,1
2026-03-29,aminzayer,1,3,3,0,3,0,0,1,1
2026-03-29,Git-Enthusiast,1,2,2,1,2,0,0,1,1
2026-03-29,karljackson1988,1,2,2,0,2,0,0,1,1
2026-03-29,claygeo,2,1,0.5,0,1,0,0,2,1
2026-03-29,AHAMMADALI46,1,1,1,0,1,0,0,1,1
2026-03-29,CodeWithBehnam,1,1,1,0,1,0,0,1,1
2026-03-29,Leehyeon-deok,1,1,1,0,1,0,0,1,1
2026-03-29,Noor-ali-web,1,1,1,1,1,0,0,1,1
2026-03-29,Sandeeprdy1729,1,1,1,0,1,1,0,1,1
2026-03-29,anmolp1,1,1,1,0,1,0,0,1,1
2026-03-29,dhs-coder,1,1,1,1,1,0,0,1,1
2026-03-29,dpejcoch,1,1,1,4,1,1,0,1,1
2026-03-29,felipealfonsog,1,1,1,0,1,0,0,1,1
2026-03-29,franciellivalerio,1,1,1,0,1,0,0,1,1
2026-03-29,likemcode,1,1,1,0,1,0,0,1,1
2026-03-29,zapanss,1,1,1,0,1,0,0,1,1
2026-03-29,AladdinGh,1,0,0,0,0,0,0,1,1
2026-03-29,AlexanderShields4,1,0,0,0,0,0,0,1,1
2026-03-29,AqeelMadhi,1,0,0,0,0,0,0,1,1
2026-03-29,ArielSoothy,1,0,0,0,0,0,0,1,1
2026-03-29,BharadwajMakamgit,1,0,0,0,0,0,0,1,1
2026-03-29,Cemputus,1,0,0,0,0,0,0,1,1
2026-03-29,CodeVizk,1,0,0,0,0,0,0,1,1
2026-03-29,DominikaDrazyk,1,0,0,0,0,0,0,1,1
2026-03-29,ElSayed-Fathi,1,0,0,0,0,0,0,1,1
2026-03-29,Elias-Abebe-Gasparini,1,0,0,0,0,0,0,1,1
2026-03-29,Faheem63,1,0,0,0,0,0,0,1,1
2026-03-29,Federico-CM,1,0,0,0,0,0,0,1,1
2026-03-29,Feyiarmstrong,1,0,0,0,0,0,0,1,1
2026-03-29,Gunnarguy,1,0,0,0,0,1,0,1,1
2026-03-29,KChand1,1,0,0,2,0,0,0,1,1
2026-03-29,Kerrisa,1,0,0,0,0,0,0,1,1
2026-03-29,LTepliakov,1,0,0,0,0,0,0,1,1
